,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
431,F2-iter4,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.528052805280528,0.08606777837547068,0.14801110083256244,-0.20510867426534105,1.8558824299624833e-20,-0.39299850535182135,6.254767278841823e-75,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
567,B2-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9753340184994861,0.5349492671927847,0.6909355660720786,0.1902617619692364,4.070134993645302e-16,0.524160053650672,1.8878608345729784e-127,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
703,B1-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9782608695652174,0.6191524490919097,0.7583417593528816,0.16158429662709137,3.0339582895250807e-12,0.5102709965012975,1.124229415169437e-122,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
839,F1-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.514018691588785,0.0847457627118644,0.1455026455026455,-0.3142523294686831,2.0146751336062756e-49,-0.4358998217700623,2.8777323122881636e-98,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
975,B1-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.979075850043592,0.6284275321768327,0.7655078391274711,0.16154821289323726,4.660689792991206e-12,0.513105566151767,3.4577093579492307e-122,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1111,F2-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.44984802431610943,0.07740585774058577,0.13208389112003568,-0.31800389941871887,2.1346458337823777e-50,-0.4931971445296006,9.925641256837112e-129,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1247,F2-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.5241157556270096,0.08735262593783494,0.14974735875057418,-0.16310588321458894,1.7764293319561007e-13,-0.3700567000900788,2.1711873992979184e-66,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1383,F2-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.48742138364779874,0.07973251028806584,0.13704686118479223,-0.26278387288816357,1.2890933768677133e-34,-0.4221576436073004,7.865087858674566e-92,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1519,B2-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9734422880490297,0.5387224420576597,0.6935953420669578,0.19196568729277613,2.328256564681743e-16,0.5412280493912726,3.8493658829655303e-137,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1655,F1-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.5537459283387622,0.08994708994708994,0.15475648611743284,-0.1281051671783209,7.127917127920645e-09,-0.33266555395960873,1.4222795984181116e-53,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1791,B1-iter1,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9829205807002562,0.6469926925238898,0.7803389830508475,0.1620008595392824,4.774155785323659e-12,0.491392610278377,5.490949038476206e-110,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1927,F1-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.504885993485342,0.08014477766287487,0.1383311021865239,-0.2113541719671566,1.708701948147323e-22,-0.3888388133114669,2.9446836261149417e-76,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
2063,B2-iter0,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9744637385086823,0.5335570469798657,0.6895554752439464,0.1884749481081076,5.858178633594605e-16,0.546534333112936,1.0018295699773699e-141,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
2199,B2-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9815384615384616,0.5337423312883436,0.6914739884393064,0.19242290933321465,1.4521525177485668e-16,0.5646804931613005,4.795306566351247e-153,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
2335,F2-iter2,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.49834983498349833,0.08206521739130435,0.1409239384041064,-0.18653887106206363,4.693758915061075e-17,-0.42936724101810636,3.644959671614532e-90,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
2471,B2-iter1,S1,gg_13_8_otus,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.9746192893401016,0.5292171995589857,0.6859592711682745,0.19460450496287934,3.755731794128559e-17,0.5437796005911029,5.028068714037788e-142,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
2607,F1-iter4,S1,unite-97-rep-set,sortmerna,1.0:0.8:3:0.9:1.0:partial-ref,0.5119047619047619,0.09038360483447189,0.15364001786511836,-0.2053047299896543,4.140337167600753e-21,-0.41833931934102836,2.2718716656262014e-88,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
24,F1-iter2,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9268841394825647,0.4517543859649123,0.6074456321415408,0.049772047946640016,0.030530968818963097,0.009797721774516845,0.6704262512327237,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
160,B1-iter0,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9837947332883187,0.8180797304884896,0.8933169834457387,0.1078809516309068,4.356844135710008e-06,0.42381903920073816,1.3457349000508509e-79,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
296,B1-iter3,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9829467939972715,0.810917276308385,0.8886833179155104,0.1143308474687933,1.1391608344241554e-06,0.4129835057964968,3.6796241289275904e-75,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
432,F2-iter4,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9313253012048193,0.41581495427649273,0.5749349200446262,0.07320656337476128,0.001343044138608642,0.01677741377936184,0.4629757636048033,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
568,B2-iter2,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9655898876404494,0.7750845546786922,0.8599124452782989,0.11912906671576211,3.376984728363345e-07,0.4014500282317319,1.4986845155962836e-71,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
704,B1-iter4,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9825853985264568,0.8073747936158503,0.8864048338368579,0.10864438991165312,2.942378282322624e-06,0.41709500573716496,1.7519030556292614e-78,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
840,F1-iter1,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9311064718162839,0.45814072932717,0.6141135972461272,0.043910855884443836,0.04885540014321717,0.00931837107793516,0.6760701094621115,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
976,B1-iter2,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.983640081799591,0.8074986010072748,0.8869084204056545,0.109553933591782,2.9681323055604874e-06,0.4164505567354706,6.782476573678955e-77,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1112,F2-iter0,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9247058823529412,0.4110878661087866,0.5691527878349023,0.04027705793341796,0.07345421600635633,-0.009898803012616338,0.6601137505273402,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1248,F2-iter3,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9336734693877551,0.39228295819935693,0.5524528301886793,0.1032466916539383,5.874640066391413e-06,0.06976195804069382,0.002235968028890497,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1384,F2-iter1,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9309941520467836,0.4094650205761317,0.5687745623436942,0.08404854252833954,0.00016595039033984245,0.0469825512927991,0.03550536152520145,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1520,B2-iter3,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9653710247349824,0.7721876766534765,0.8580402010050252,0.1209445583491285,2.3124807349045482e-07,0.41396307179460096,3.371809605486807e-76,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1656,F1-iter3,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9315960912052117,0.45396825396825397,0.6104589114194238,0.07218008682580629,0.0014131138587747708,0.021022852964651166,0.35311420885735945,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1792,B1-iter1,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.985981308411215,0.8302417088251827,0.901434238632896,0.10886068927907092,3.672186704143539e-06,0.4123452899540564,7.866605782222983e-75,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1928,F1-iter0,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9299781181619255,0.43950361944157185,0.5969101123595505,0.0705235668922106,0.0016089045489757214,0.0335149487411733,0.13424561686526643,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2064,B2-iter0,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.952280701754386,0.7589485458612976,0.8446934329287271,0.12041984400631925,1.957856846992227e-07,0.41676421573391703,6.874231012737758e-79,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2200,B2-iter4,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9661016949152542,0.7629670942554378,0.8526020567154876,0.12120233425162351,1.827085972838507e-07,0.43250246905035167,8.553812972454798e-85,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2336,F2-iter2,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9425,0.4097826086956522,0.5712121212121212,0.09963018758298531,1.4597907021441052e-05,0.056195682238615756,0.014655472694389923,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2472,B2-iter1,S1,gg_13_8_otus,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.9614576033637001,0.7563395810363837,0.8466522678185745,0.1263567644725596,4.229915105912444e-08,0.4298048107462309,6.774100411670924e-85,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2608,F1-iter4,S1,unite-97-rep-set,sortmerna,0.51:0.9:3:0.9:1.0:full-ref,0.924812030075188,0.45244351024697843,0.607621736062103,0.05804979961247866,0.009907995851601325,0.015621501610507673,0.4880048033330321,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
25,F1-iter2,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9369482976040353,0.40734649122807015,0.5678257546809323,0.06588701396647671,0.004325029605380423,0.026218414797329514,0.2566160724221513,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
161,B1-iter0,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9846368715083799,0.7916900617630545,0.8776844070961717,0.11525518181997992,9.25260919706487e-07,0.43011230142084017,4.3505922214341013e-82,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
297,B1-iter3,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9831223628691983,0.7867191896454699,0.8740231322288214,0.12236793429086812,1.8980486870710244e-07,0.43477335746605117,6.10808574980396e-84,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
433,F2-iter4,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9547325102880658,0.3743948359332975,0.5378670788253478,0.11619666645331436,4.0189859585204294e-07,0.07253618845795867,0.0015929747498332949,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
569,B2-iter2,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9715165511932256,0.7113866967305524,0.8213472177025708,0.14196537765382553,1.2947856804646094e-09,0.4809993024140758,1.6845805660232766e-105,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
705,B1-iter4,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9811715481171548,0.7743533296642818,0.8655798215933559,0.11692860052063501,4.778432911382168e-07,0.4201939659337557,8.715407779252065e-80,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
841,F1-iter1,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9424206815511164,0.41191576784797124,0.5732666190135811,0.06307059900417272,0.004820017978221425,0.03470500200682653,0.1211420781583225,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
977,B1-iter2,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9859451862262825,0.7851147174034695,0.8741433021806853,0.11745335128979913,5.537493444377574e-07,0.4420320974022048,2.6115190245297926e-87,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1113,F2-iter0,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9456953642384106,0.37343096234309625,0.5354330708661418,0.06763906386184548,0.0027836752872727063,0.023868865048570675,0.2917428986137792,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1249,F2-iter3,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.95355587808418,0.3520900321543408,0.5142857142857142,0.12956131466292237,1.4732879222680867e-08,0.10694651195872346,3.018392561471393e-06,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1385,F2-iter1,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.94750656167979,0.3713991769547325,0.5336289726533628,0.11323348162312973,4.2645939817110373e-07,0.08152171915688748,0.0002780749264264745,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1521,B2-iter3,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9694423223834988,0.7173544375353307,0.8245614035087719,0.13891425085956763,2.9735603918733086e-09,0.4657837748599874,4.374159614104532e-98,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1657,F1-iter3,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9418181818181818,0.4111111111111111,0.5723756906077347,0.09969483312025258,1.0977555323516967e-05,0.05549930001358708,0.014544066587662765,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1793,B1-iter1,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9861782999308915,0.8021360314783587,0.884686918784873,0.11793876510419814,5.265769708104255e-07,0.4295762164383625,1.0910457093018816e-81,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
1929,F1-iter0,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9380421313506815,0.39141675284384697,0.5523531557825611,0.07174242166818598,0.0013854454026435386,0.02678806449043796,0.23300291634572345,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2065,B2-iter0,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9591364687740941,0.6957494407158836,0.8064829821717989,0.14140695714146126,1.102242428168424e-09,0.47497215671391385,3.136880362181942e-104,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2201,B2-iter4,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9813229571984435,0.7032905744562187,0.8193632228719949,0.14288050201774732,9.494404940384543e-10,0.5111632376409537,1.6013581905010093e-121,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2337,F2-iter2,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9675141242937854,0.37228260869565216,0.5376766091051804,0.14047315961461,1.1339351782882529e-09,0.11859983802324607,2.840162393880148e-07,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2473,B2-iter1,S1,gg_13_8_otus,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.9674670797831139,0.6885336273428887,0.8045088566827697,0.14820079903834246,1.4004574368309035e-10,0.4765526107525276,7.550636567521011e-106,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
2609,F1-iter4,S1,unite-97-rep-set,sortmerna,0.51:0.9:5:0.9:1.0:full-ref,0.943577430972389,0.41303205465055176,0.5745614035087719,0.08836511931913421,9.335601822055571e-05,0.05825322707276711,0.010084205975433079,[5.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 5.0, 1.0]","[0.0, '.', 9.0]"
26,F1-iter2,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.35252192982456143,0.5212809079854074,0.1277181307114809,4.4169432244909567e-08,0.13441126616031468,8.277359557481091e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
162,B1-iter0,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,0.9992217898832685,0.720943290286356,0.837573385518591,0.13553065851175308,9.259600858298424e-09,0.46150601523866414,1.0841723385637512e-94,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
298,B1-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,0.9992125984251968,0.7141249296567248,0.8329504430587463,0.14644361772531822,5.500262546133215e-10,0.48541513644996104,9.224955716437957e-106,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
434,F2-iter4,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.30984400215169444,0.4731006160164271,0.17457886463282365,3.445344159694888e-14,0.15324579741835723,3.0905750569863486e-11,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
570,B2-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,0.9989059080962801,0.5146561443066516,0.6793154761904763,0.20072900827483758,1.3662852798359108e-17,0.5682883008126676,2.3271624405751785e-152,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
706,B1-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.7028068244358833,0.8254686489980607,0.13770023169926282,3.776304048665418e-09,0.46495374402941203,4.0225499264167335e-98,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
842,F1-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.35850025680534153,0.5277882797731569,0.13201468925676654,5.005450236723773e-09,0.12324075314794249,4.8892526114516155e-08,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
978,B1-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.7202014549524343,0.8373454782042941,0.13495201229934833,1.0219772235960685e-08,0.46796202502549894,6.33524698350891e-98,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1114,F2-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.3117154811715481,0.47527910685805425,0.12574104387158858,3.457823267637911e-08,0.1111625543001867,1.1009984841670609e-06,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1250,F2-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.3054662379421222,0.46798029556650245,0.17613731614542122,1.8088676169116067e-14,0.1785383960677753,7.867227716885916e-15,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1386,F2-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.3096707818930041,0.4728986645718774,0.16447771187520585,2.9416549638130714e-13,0.1608908187364255,9.624040035995333e-13,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1522,B2-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.5211984171848502,0.6852471200297287,0.2013458363028374,1.2284977136813886e-17,0.5776984307165866,5.104109612876352e-158,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1658,F1-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.3523809523809524,0.5211267605633803,0.15100998568464696,4.151763413551965e-11,0.15026218381116482,5.1856859671203015e-11,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1794,B1-iter1,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.7369308600337268,0.8485436893203884,0.13791054816615508,5.1995170911805955e-09,0.45712162836371883,1.4632313890467225e-92,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
1930,F1-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.32264736297828334,0.4878811571540266,0.14115766353720322,4.519014886540302e-10,0.14543439366450225,1.311223881995275e-10,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
2066,B2-iter0,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.5050335570469798,0.6711259754738016,0.2027463575246354,4.8373262754825195e-18,0.5920916257683465,1.2387894189768571e-169,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
2202,B2-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.9:5:0.8:1.0:full-ref,1.0,0.5041829336307864,0.6703744901742676,0.20002745589230342,1.2247647947234437e-17,0.583560582896958,3.893141802861735e-164,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 9.0]"
