Taxon	blast_0.0001	blast_1.0	blast_1e-06	blast_1e-10	blast_1e-30	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rtax	Expected
g__Zygosaccharomyces	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0112458407986	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0148771435884	0.0625	
g__Bartalinia	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	0	0	0	0	0	0	0	0	0	3.19938571794e-05	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	1.59969285897e-05	0.000895828001024	0.000815843358075	0.000751855643716	0	0	0	1.59969285897e-05	0	0.000783849500896	0.000879831072434	0.000815843358075	0.118889173279	0	0	
Other	0	0	0	0	0	7.99846429486e-05	0.0984770923983	0.0985090862554	0.000175966214487	0.000655874072178	0.0986850524699	0.10095661633	0.098957000256	0.177117993345	0.000127975428718	0.0984930893268	0.0984930893268	0.0985090862554	0.0986370616842	0.152514717174	0.100876631687	0.101244561044	0.120840798567	0.0979651906834	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Candida	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133558356795	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133606347581	0.133574353724	0.133558356795	0.133606347581	0.1875	
g__Issatchenkia	0	0	0	0	0	0.119193114922	0.119193114922	0.119193114922	0.119193114922	0.119193114922	0.119161121065	0.119001151779	0.118809188636	0.118185308421	0.119193114922	0.119193114922	0.119193114922	0.119177117993	0.119177117993	0.119145124136	0.119017148707	0.118937164064	0.000639877143588	0	0	
g__Debaryomyces	0	0	0	0	0	0.0568370872792	0.0568370872792	0.0568370872792	0.0568210903507	0.0568210903507	3.19938571794e-05	0	0	0	0.0568370872792	0.0568050934221	0.0568050934221	0.0567890964935	0.0567890964935	0	0	0	0	0.0568050934221	0.0625	
Other	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Penicillium	0.0642116713591	0.0642116713591	0.0642116713591	0.0642116713591	0.0642116713591	0.0645796007167	0.0645796007167	0.0645796007167	0.0645796007167	0.0645796007167	0.0645796007167	0.0645316099309	0.0641316867162	0.06374776043	0.0645796007167	0.0645796007167	0.0645796007167	0.0645796007167	0.0645796007167	0.0645636037881	0.0645156130023	0.06374776043	0.0631558740722	0.0645476068595	0.1875	
g__Bionectria	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Cyanonectria	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	0	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.59969285897e-05	0.000479907857691	0.000799846429486	0	0	0.0	0.0	0	1.59969285897e-05	4.79907857691e-05	0.000767852572306	0.00131174814436	0	0	
g__Fusarium	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	0.0	9.59815715383e-05	9.59815715383e-05	6.39877143588e-05	1.59969285897e-05	0	0	0	0	0	9.59815715383e-05	9.59815715383e-05	6.39877143588e-05	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	0	0	0	0.000431917071922	0.0625	
Other	0	0	0	0	0	0	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	6.39877143588e-05	0.000127975428718	0.0519100332736	0.0543735602764	0.252447530074	0	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	9.59815715383e-05	0.0519260302022	0.0520380087023	0.261053877655	0.000943818786793	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59969285897e-05	0	0	0	0	0.0	0.0	1.59969285897e-05	1.59969285897e-05	0	0	0	
g__unidentified	0	0	0	0	0	1.59969285897e-05	1.59969285897e-05	0	0	0	0	0	0	0	1.59969285897e-05	1.59969285897e-05	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.0	3.19938571794e-05	4.79907857691e-05	6.39877143588e-05	0.000111978500128	0.000175966214487	0.000111978500128	0	3.19938571794e-05	3.19938571794e-05	6.39877143588e-05	6.39877143588e-05	7.99846429486e-05	0.000127975428718	0.000191963143077	0.000143972357307	0	0	
g__Kluyveromyces	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0418799590479	0.0625	
g__Microascus	0	0	0	0	0	0.0125255950857	0.0124936012286	0.0124936012286	0.0124616073714	0	0	0	0	0	0.0125255950857	0.0124936012286	0.0124616073714	0.0124616073714	0	0	0	0	0	0	0	
NO_HIT	0	0	0	0	0.00367929357563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Ilyonectria	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	0	3.19938571794e-05	0	0	0	0	0	0	0	0	0	0	
g__Nectria	0	0	0	0	0	0.000735858715127	0.000639877143588	0.000351932428974	0.000239953928846	0	0	0	0	0	0.000735858715127	0.000655874072178	0.000623880214999	0	0	0	0	0	0	0	0	
